Fraud_Type,Transcript
Gaming Account,online gaming account compromised protect progress please provide username password security question answers
Health Insurance,health insurance company exclusive offer proceed provide social security number payment details
Streaming Service,ve free trial premium streaming service activate provide email address password credit card information
Tech Support,detected security vulnerability computer system fix please provide remote access credit card information service
Prize Scam,Congratulations ve gift card worth significant amount claim gift card share personal details payment information
Government Immigration,government immigration office visa application requires additional information proceed provide passport details travel history
Discount Offer,ve selected limitedtime offer home appliances claim discount provide address credit card details purchase
Survey,conducting market research survey participate provide personal information credit card details chance win prize
Tech Support,Hello technical support team device critical issue fix provide device details credit card information repair
Hacking Scam,social media account flagged violating community guidelines reinstate account please provide username password email
Banking,bank s verification department suspect unauthorized access account secure provide account number security answers
Free Trial,ve qualified free trial premium software activate provide email address password credit card information verification
Prize Scam,Congratulations ve gift voucher luxury shopping spree claim voucher share personal details payment information
Government Health,calling government health department health records need verification proceed provide social security number medical history
Hacking Scam,email account compromised recover please provide email address password alternative contact information
Credit Card,credit card company calling card flagged suspicious activity verify transactions provide card number date CVV
Lottery,ve cash prize national lottery claim winnings share personal information bank account details transfer
Survey,conducting survey behalf market research firm participate provide personal information credit card details validation
Travel Agency,Hello travel agency ve selected discounted vacation package claim offer provide passport details payment information
Hacking Scam,social media account compromised secure please provide username password security question answers
Government Tax,government tax office tax refund pending process refund provide social security number bank account details tax filing
Loyalty Program,ve selected loyalty rewards program participate provide personal information credit card details enrollment
Banking,detected suspicious activity online banking account protect funds please provide username password security code
Free Trial,Congratulations ve free trial premium membership activate provide email address password credit card information
Health Insurance,health insurance company special offer proceed provide social security number medical history payment details
Lottery,ve cash prize lucky draw claim winnings share personal information bank account details transfer
Charity,calling charity foundation support make difference donate provide credit card information donation amount
Tech Support,Hello technical support team identified security vulnerability computer fix provide device details credit card information
Government Official,Caller Good day security department bank noticed suspicious activity account Please provide account number PIN verification purposes
Government Official,Caller Hello IRS outstanding tax payment face legal consequences resolved immediately Please provide Social Security number make payment
Tech Support,Caller Hi tech support team wellknown software company detected virus computer fix need remote access device provide
Credit Card,Caller Good afternoon customer service credit card provider suspect fraudulent activity card Please confirm card details recent transactions
Lottery,Caller Hello lottery agency Congratulations huge sum money claim prize please provide bank account details transfer
Tech Support,Caller Hi customer care department internet service provider internet connection compromised Please share username password troubleshooting
Hacking Scam,Caller Good day technical team popular social media platform account hacked secure please provide login credentials
Government Official,Caller Hello police department received reports identity theft linked name assist investigation please confirm personal information
Insurance,Caller Hi insurance company revised policy need update information verify full name address social security number
Charity,Caller Good afternoon representative wellknown charity organization appreciate past donations continue supporting us please provide credit card details
Investment Offer,Caller Hello representative investment firm exclusive investment opportunity high returns proceed please share financial information
Hacking Scam,Caller Hi tech department email provider account compromised secure please provide email address password
Lottery,Caller Good day sweepstakes company luxury vacation package claim prize please confirm personal details make small payment
Online Retailer,Caller Hello support team wellknown online retailer suspect fraudulent transaction account resolve please provide login credentials
Credit Reporting,Caller Hi representative reputable credit reporting agency detected errors credit report Please provide social security number verification
Travel Agency,Caller Good afternoon representative popular travel agency exclusive deals book please provide credit card details
Banking,Caller Hello bank detected unauthorized transaction account Please confirm account details reverse transaction
Online Auction,Caller Hi customer service wellknown online auction site issue account Please provide username password resolve
Tech Support,Caller Good day tech support team major computer manufacturer detected serious issue device fix please share personal information
Antivirus Scam,Caller Hello representative reputable antivirus company computer infected malware remove please provide remote access system
Tech Support,Hello technical support team device critical issue fix provide device details credit card information repair
Hacking Scam,social media account flagged violating community guidelines reinstate account please provide username password email
Banking,bank s verification department suspect unauthorized access account secure provide account number security answers
Free Trial,ve qualified free trial premium software activate provide email address password credit card information verification
Prize Scam,Congratulations ve gift voucher luxury shopping spree claim voucher share personal details payment information
Government Health,calling government health department health records need verification proceed provide social security number medical history
Hacking Scam,email account compromised recover please provide email address password alternative contact information
Credit Card,credit card company calling card flagged suspicious activity verify transactions provide card number date CVV
Lottery,ve cash prize national lottery claim winnings share personal information bank account details transfer
Survey,conducting survey behalf market research firm participate provide personal information credit card details validation
Travel Agency,Hello travel agency ve selected discounted vacation package claim offer provide passport details payment information
Hacking Scam,social media account compromised secure please provide username password security question answers
Government Tax,government tax office tax refund pending process refund provide social security number bank account details tax filing
Loyalty Program,ve selected loyalty rewards program participate provide personal information credit card details enrollment
Banking,detected suspicious activity online banking account protect funds please provide username password security code
Free Trial,Congratulations ve free trial premium membership activate provide email address password credit card information
Health Insurance,health insurance company special offer proceed provide social security number medical history payment details
Lottery,ve cash prize lucky draw claim winnings share personal information bank account details transfer
Charity,calling charity foundation support make difference donate provide credit card information donation amount
Tech Support,Hello technical support team identified security vulnerability computer fix provide device details credit card information
Government Official,Caller Good day security department bank noticed suspicious activity account Please provide account number PIN verification purposes
Government Official,Caller Hello IRS outstanding tax payment face legal consequences resolved immediately Please provide Social Security number make payment
Tech Support,Caller Hi tech support team wellknown software company detected virus computer fix need remote access device provide
Credit Card,Caller Good afternoon customer service credit card provider suspect fraudulent activity card Please confirm card details recent transactions
Lottery,Caller Hello lottery agency Congratulations huge sum money claim prize please provide bank account details transfer
Tech Support,Caller Hi customer care department internet service provider internet connection compromised Please share username password troubleshooting
Hacking Scam,Caller Good day technical team popular social media platform account hacked secure please provide login credentials
Government Official,Caller Hello police department received reports identity theft linked name assist investigation please confirm personal information
Insurance,Caller Hi insurance company revised policy need update information verify full name address social security number
Charity,Caller Good afternoon representative wellknown charity organization appreciate past donations continue supporting us please provide credit card details
Investment Offer,Caller Hello representative investment firm exclusive investment opportunity high returns proceed please share financial information
Hacking Scam,Caller Hi tech department email provider account compromised secure please provide email address password
Lottery,Caller Good day sweepstakes company luxury vacation package claim prize please confirm personal details make small payment
Online Retailer,Caller Hello support team wellknown online retailer suspect fraudulent transaction account resolve please provide login credentials
Credit Reporting,Caller Hi representative reputable credit reporting agency detected errors credit report Please provide social security number verification
Travel Agency,Caller Good afternoon representative popular travel agency exclusive deals book please provide credit card details
Banking,Caller Hello bank detected unauthorized transaction account Please confirm account details reverse transaction
Online Auction,Caller Hi customer service wellknown online auction site issue account Please provide username password resolve
Tech Support,Caller Good day tech support team major computer manufacturer detected serious issue device fix please share personal information
Antivirus Scam,Caller Hello representative reputable antivirus company computer infected malware remove please provide remote access system
Tech Support,Caller Hi customer care department mobile service provider SIM card compromised Please confirm SIM card number account details
Online Payment Platform,Caller Good afternoon representative renowned online payment platform account locked unlock please provide login credentials
Streaming Service,Caller Hello technical team wellknown streaming service subscription expire continue using service please update payment information
Credit Card,Caller Hi representative credit card company suspect fraudulent activity card Please verify card details
Tech Support,Hello technical support team device critical issue fix provide device details credit card information repair
Hacking Scam,social media account flagged violating community guidelines reinstate account please provide username password email
Banking,bank s verification department suspect unauthorized access account secure provide account number security answers
Free Trial,ve qualified free trial premium software activate provide email address password credit card information verification
Prize Scam,Congratulations ve gift voucher luxury shopping spree claim voucher share personal details payment information
Government Health,calling government health department health records need verification proceed provide social security number medical history
Hacking Scam,email account compromised recover please provide email address password alternative contact information
Credit Card,credit card company calling card flagged suspicious activity verify transactions provide card number date CVV
Lottery,ve cash prize national lottery claim winnings share personal information bank account details transfer
Survey,conducting survey behalf market research firm participate provide personal information credit card details validation
Travel Agency,Hello travel agency ve selected discounted vacation package claim offer provide passport details payment information
Hacking Scam,social media account compromised secure please provide username password security question answers
Government Tax,government tax office tax refund pending process refund provide social security number bank account details tax filing
Loyalty Program,ve selected loyalty rewards program participate provide personal information credit card details enrollment
Banking,detected suspicious activity online banking account protect funds please provide username password security code
Free Trial,Congratulations ve free trial premium membership activate provide email address password credit card information
Health Insurance,health insurance company special offer proceed provide social security number medical history payment details
Lottery,ve cash prize lucky draw claim winnings share personal information bank account details transfer
Charity,calling charity foundation support make difference donate provide credit card information donation amount
Tech Support,Hello technical support team identified security vulnerability computer fix provide device details credit card information
Government Official,Caller Good day security department bank noticed suspicious activity account Please provide account number PIN verification purposes
Government Official,Caller Hello IRS outstanding tax payment face legal consequences resolved immediately Please provide Social Security number make payment
Tech Support,Caller Hi tech support team wellknown software company detected virus computer fix need remote access device provide
Credit Card,Caller Good afternoon customer service credit card provider suspect fraudulent activity card Please confirm card details recent transactions
Lottery,Caller Hello lottery agency Congratulations huge sum money claim prize please provide bank account details transfer
Tech Support,Caller Hi customer care department internet service provider internet connection compromised Please share username password troubleshooting
Hacking Scam,Caller Good day technical team popular social media platform account hacked secure please provide login credentials
Government Official,Caller Hello police department received reports identity theft linked name assist investigation please confirm personal information
Insurance,Caller Hi insurance company revised policy need update information verify full name address social security number
Charity,Caller Good afternoon representative wellknown charity organization appreciate past donations continue supporting us please provide credit card details
Investment Offer,Caller Hello representative investment firm exclusive investment opportunity high returns proceed please share financial information
Hacking Scam,Caller Hi tech department email provider account compromised secure please provide email address password
Lottery,Caller Good day sweepstakes company luxury vacation package claim prize please confirm personal details make small payment
Online Retailer,Caller Hello support team wellknown online retailer suspect fraudulent transaction account resolve please provide login credentials
Credit Reporting,Caller Hi representative reputable credit reporting agency detected errors credit report Please provide social security number verification
Travel Agency,Caller Good afternoon representative popular travel agency exclusive deals book please provide credit card details
Banking,Caller Hello bank detected unauthorized transaction account Please confirm account details reverse transaction
Online Auction,Caller Hi customer service wellknown online auction site issue account Please provide username password resolve
Tech Support,Caller Good day tech support team major computer manufacturer detected serious issue device fix please share personal information
Antivirus Scam,Caller Hello representative reputable antivirus company computer infected malware remove please provide remote access system
Tech Support,Caller Hi customer care department mobile service provider SIM card compromised Please confirm SIM card number account details
Online Payment Platform,Caller Good afternoon representative renowned online payment platform account locked unlock please provide login credentials
Streaming Service,Caller Hello technical team wellknown streaming service subscription expire continue using service please update payment information
Credit Card,Caller Hi representative credit card company suspect fraudulent activity card Please verify card details
