translated_words,Label,Words
"In the case of Shinhan Bank, maybe the result of the last prosecutor's account washing recorded money laundry records, so I would be contacted by the teacher.10 million degree this table will be recorded.",1.0,"['case', 'Shinhan', 'Bank', 'maybe', 'result', 'last', 'prosecutor', 'account', 'washing', 'recorded', 'money', 'laundry', 'record', 'would', 'contacted', 'teacher10', 'million', 'degree', 'table', 'recorded']"
"Who are you from Kim Kang -ho, 37 Men are from Seoul. I don't know at all.How much credit inquiry came out like that. I mean, I mean, I said that I was in the first half, I opened an account and confirmed whether I was charged with transferring a bank account or a personal information leak.I said that I was opening it, but I was a 200 -day incident in the country.Discovery must prove the victim. Credit rating inquiry came out.I'm not confirming the statement, it's uncomfortable. I'm uncomfortable. No matter how I look at it, it's a voice phishing.please",1.0,"['Kim', 'Kang', 'ho', '37', 'Men', 'Seoul', 'dont', 'know', 'allHow', 'much', 'credit', 'inquiry', 'came', 'like', 'mean', 'mean', 'said', 'first', 'half', 'opened', 'account', 'confirmed', 'whether', 'charged', 'transferring', 'bank', 'account', 'personal', 'information', 'leakI', 'said', 'opening', '200', 'day', 'incident', 'countryDiscovery', 'must', 'prove', 'victim', 'Credit', 'rating', 'inquiry', 'came', 'outIm', 'confirming', 'statement', 'uncomfortable', 'Im', 'uncomfortable', 'matter', 'look', 'voice', 'phishingplease']"
"It's been a long time, but it's usually prepared and prepared quickly.",0.0,"['long', 'time', 'usually', 'prepared', 'prepared', 'quickly']"
"Still, it's something that's a chance, and I'm going to go a little bit now, but I'm in the semester. I've been in school year.",0.0,"['Still', 'something', 'thats', 'chance', 'Im', 'going', 'go', 'little', 'bit', 'Im', 'semester', 'Ive', 'school', 'year']"
Confirmation of Agricultural Cooperatives.,1.0,"['Confirmation', 'Agricultural', 'Cooperatives']"
"It's like a counter, but it's like a gundal that looks like what's going on.",0.0,"['like', 'counter', 'like', 'gundal', 'look', 'like', 'whats', 'going']"
"How to see Kookmin Bank's customer deposit product. I'm rating like that, but you have to wait 500 months.The repayment capacity customer occurs the new loan.It's up to the level, so it's 768, so it's a loan, and it's a repayment and it's up.It's like that by issuing a repayment rating complementary minus bank account, but there's no national happiness fund or national happiness fund.National Happiness Fund National Happiness Fund. Where are you confirming the phone confirmation?Where is the National Sales National People's Branch of Mapo Branch Mapo Branch Until now, I don't know where the customer is.You've been telling you the direct phone number.You can also press 02.",1.0,"['see', 'Kookmin', 'Banks', 'customer', 'deposit', 'product', 'Im', 'rating', 'like', 'wait', '500', 'monthsThe', 'repayment', 'capacity', 'customer', 'occurs', 'new', 'loanIts', 'level', '768', 'loan', 'repayment', 'upIts', 'like', 'issuing', 'repayment', 'rating', 'complementary', 'minus', 'bank', 'account', 'there', 'national', 'happiness', 'fund', 'national', 'happiness', 'fundNational', 'Happiness', 'Fund', 'National', 'Happiness', 'Fund', 'confirming', 'phone', 'confirmationWhere', 'National', 'Sales', 'National', 'Peoples', 'Branch', 'Mapo', 'Branch', 'Mapo', 'Branch', 'dont', 'know', 'customer', 'isYouve', 'telling', 'direct', 'phone', 'numberYou', 'also', 'press', '02']"
"Hi, Citi Capital Citi Capital Kang Hyun -cheol This is the Cola -free day loan product. Please call me a loan.I don't know how, but I'm not connecting all the time.",1.0,"['Hi', 'Citi', 'Capital', 'Citi', 'Capital', 'Kang', 'Hyun', 'cheol', 'Cola', 'free', 'day', 'loan', 'product', 'Please', 'call', 'loanI', 'dont', 'know', 'Im', 'connecting', 'time']"
Elementary school year's friendly friend I just survive these days.,0.0,"['Elementary', 'school', 'year', 'friendly', 'friend', 'survive', 'day']"
"I'm going to do it now. I'm still a joke call to the Supreme Prosecutors' Office.I need to worry about it.Until now, but in the current situation, I am not a victim, but I am an investigation situation.In order to adopt data, especially in the case of credit cards, I am trading, but we are a bad employee of the criminal offense last week.The new bank account is issued.Magnes noodles are all in Korea in Korea, and all of them are unanimous.Since it is a bank account, it has been a lot of problems in the recent incident.In particular, in the case of credit cards, if you are leaking your information, you are a personal information and you are a card phone because you are a camouflage ARS.When I use it, I have to call myself for a while.Silver Legal Lawyer's Loan's side is important because of the victims of the law.I will explain the contents of the Inje introduction from myself.I'm talking about the name.I use a lot of use like one card or a lot of use.How much is the limit? If you have a maximum limit, the card loan is called a bank account deposit, and the card loan is not the cost or the amount of the amount.Anyway, even if the amount of the amount that I tried to use as an individual, the amount of the financial supervisory agency's case is the end of the victim.Loan maximum limit If you have any inquiries, if you put it as much as possible.If you are a bad employee, if you are a bad employee, you can use the card loan.Inje Sales Fund difficult loan.The noodles are as much as possible.Huh, Lotte Lotte Woori Ultra Hyundai Busan is now on the Hana Card Card.Then, if you do it right to the bank account, I will be in the bank account, and I will be able to contact us again about the contents of the case.",1.0,"['Im', 'going', 'Im', 'still', 'joke', 'call', 'Supreme', 'Prosecutors', 'OfficeI', 'need', 'worry', 'itUntil', 'current', 'situation', 'victim', 'investigation', 'situationIn', 'order', 'adopt', 'data', 'especially', 'case', 'credit', 'card', 'trading', 'bad', 'employee', 'criminal', 'offense', 'last', 'weekThe', 'new', 'bank', 'account', 'issuedMagnes', 'noodle', 'Korea', 'Korea', 'unanimousSince', 'bank', 'account', 'lot', 'problem', 'recent', 'incidentIn', 'particular', 'case', 'credit', 'card', 'leaking', 'information', 'personal', 'information', 'card', 'phone', 'camouflage', 'ARSWhen', 'use', 'call', 'whileSilver', 'Legal', 'Lawyers', 'Loans', 'side', 'important', 'victim', 'lawI', 'explain', 'content', 'Inje', 'introduction', 'myselfIm', 'talking', 'nameI', 'use', 'lot', 'use', 'like', 'one', 'card', 'lot', 'useHow', 'much', 'limit', 'maximum', 'limit', 'card', 'loan', 'called', 'bank', 'account', 'deposit', 'card', 'loan', 'cost', 'amount', 'amountAnyway', 'even', 'amount', 'amount', 'tried', 'use', 'individual', 'amount', 'financial', 'supervisory', 'agency', 'case', 'end', 'victimLoan', 'maximum', 'limit', 'inquiry', 'put', 'much', 'possibleIf', 'bad', 'employee', 'bad', 'employee', 'use', 'card', 'loanInje', 'Sales', 'Fund', 'difficult', 'loanThe', 'noodle', 'much', 'possibleHuh', 'Lotte', 'Lotte', 'Woori', 'Ultra', 'Hyundai', 'Busan', 'Hana', 'Card', 'CardThen', 'right', 'bank', 'account', 'bank', 'account', 'able', 'contact', 'u', 'content', 'case']"
"No inter -search, I'm friendly every day, but I am a constant cafe cafe.",0.0,"['inter', 'search', 'Im', 'friendly', 'every', 'day', 'constant', 'cafe', 'cafe']"
And it's a hospital experience.,0.0,"['hospital', 'experience']"
"It's not like that, and I've played for a lot of people. I used to play for 76 hours, 20 20 hours 20, Priston Taila Level Oli Game All day long.",0.0,"['like', 'Ive', 'played', 'lot', 'people', 'used', 'play', '76', 'hour', '20', '20', 'hour', '20', 'Priston', 'Taila', 'Level', 'Oli', 'Game', 'day', 'long']"
"These days, it's a long time, it's a month, it's a month or a month or a month.",0.0,"['day', 'long', 'time', 'month', 'month', 'month', 'month']"
"I think we will be able to pay our customers to our customers again.I wrote it.I think I'm going to work right away from the work site at the office.It's only a day in itself. It's so much like that, but it's a company's business.It is not a business for the transaction details.Involvement for that",1.0,"['think', 'able', 'pay', 'customer', 'customer', 'againI', 'wrote', 'itI', 'think', 'Im', 'going', 'work', 'right', 'away', 'work', 'site', 'officeIts', 'day', 'much', 'like', 'company', 'businessIt', 'business', 'transaction', 'detailsInvolvement']"
"No, I'm an apartment apartment these days, but I'm going down on the train.",0.0,"['Im', 'apartment', 'apartment', 'day', 'Im', 'going', 'train']"
"Jerry later, so it's cool, so it's because I'm taking it out, but I'm going to talk to me.",0.0,"['Jerry', 'later', 'cool', 'Im', 'taking', 'Im', 'going', 'talk']"
"So here, I made a little bit of a little bit that I thought that I would only think that I would only think about the middle part of the middle part of the middle of the middle part, or that the band was too much.",0.0,"['made', 'little', 'bit', 'little', 'bit', 'thought', 'would', 'think', 'would', 'think', 'middle', 'part', 'middle', 'part', 'middle', 'middle', 'part', 'band', 'much']"
"War Russia A lot of people's blog posts have recently entered a man's blog, and a man is just a little east or west.",0.0,"['War', 'Russia', 'lot', 'people', 'blog', 'post', 'recently', 'entered', 'man', 'blog', 'man', 'little', 'east', 'west']"
"Kim Myung -cheol is a financial fraud at Mapo Station last week.First of all, we have been in operation.So, I use it as a cannon bank account for criminals, and I'm 10 million illegal money laundering.I opened a bank account and I am a very municipality. Once I listen to it now, I talk about the victim, but I don't even know that I don't even know that I don't even know that I can't open it.I heard the evidence of securing the evidence. I was informed by the child part now, if we are liberated, we will compensate for the cause of the cause.It's a part of my friend, so I'm honest answer.182 Representative Number Seoul Metropolitan Police Agency Representative Number This mobile phone is now mobile phone mobile phone number 01063124246",1.0,"['Kim', 'Myung', 'cheol', 'financial', 'fraud', 'Mapo', 'Station', 'last', 'weekFirst', 'operationSo', 'use', 'cannon', 'bank', 'account', 'criminal', 'Im', '10', 'million', 'illegal', 'money', 'launderingI', 'opened', 'bank', 'account', 'municipality', 'listen', 'talk', 'victim', 'dont', 'even', 'know', 'dont', 'even', 'know', 'dont', 'even', 'know', 'cant', 'open', 'itI', 'heard', 'evidence', 'securing', 'evidence', 'informed', 'child', 'part', 'liberated', 'compensate', 'cause', 'causeIts', 'part', 'friend', 'Im', 'honest', 'answer182', 'Representative', 'Number', 'Seoul', 'Metropolitan', 'Police', 'Agency', 'Representative', 'Number', 'mobile', 'phone', 'mobile', 'phone', 'mobile', 'phone', 'number', '01063124246']"
"Honestly, it's a sports leisure sports club, but I meet every week, but I'm going to meet with a bowling, but it's a little summer summer award.",0.0,"['Honestly', 'sport', 'leisure', 'sport', 'club', 'meet', 'every', 'week', 'Im', 'going', 'meet', 'bowling', 'little', 'summer', 'summer', 'award']"
"Calling the previous lawyer receipt confirmation The remaining difference is the difference in the difference in the difference.Did you delay it?I should do it, but if you have a mobile phone electronic signature, if you have to help you with your own signature.It's just a customer information registration side.That's that, and I'll call the fax again. It's like that.",1.0,"['Calling', 'previous', 'lawyer', 'receipt', 'confirmation', 'remaining', 'difference', 'difference', 'difference', 'differenceDid', 'delay', 'itI', 'mobile', 'phone', 'electronic', 'signature', 'help', 'signatureIts', 'customer', 'information', 'registration', 'sideThats', 'Ill', 'call', 'fax', 'like']"
"Hello OK Savings Credit Corporation High Credit Loan.It's a different customer, and it's a job now. It's a personal business.You're in progress, please say again.",1.0,"['Hello', 'OK', 'Savings', 'Credit', 'Corporation', 'High', 'Credit', 'LoanIts', 'different', 'customer', 'job', 'personal', 'businessYoure', 'progress', 'please', 'say']"
"Then I have to say it's a Foundation Fund. Customer progress.If you fall off the autographs, you can contact the customer again and have a certificate of payment of the certificate of payment.If you are issued a guarantee if you are issued a guarantee, if you are issued a guarantee if you are issued a guarantee, we should see other organizations.",1.0,"['say', 'Foundation', 'Fund', 'Customer', 'progressIf', 'fall', 'autograph', 'contact', 'customer', 'certificate', 'payment', 'certificate', 'paymentIf', 'issued', 'guarantee', 'issued', 'guarantee', 'issued', 'guarantee', 'issued', 'guarantee', 'see', 'organization']"
You've broken up with your friend and your own promise.,0.0,"['Youve', 'broken', 'friend', 'promise']"
"Self -24 Card Kookmin Bank Tomorrow Tomorrow 12 15 Songpa -gu, Songpa -dong, Nonghyup, Gangnam -gu, Yeoksam -dong, is now an incident or a teacher's personal information leak, so 51 Personal information is the best for theft.Tomorrow Tomorrow, we are different from the other person. So we are a process in us.I know you are old 13th episode of Songpa -dong, Seoul 40 Kookmin Bank.No, I'm a Friday step, but I'm going to tell you the other criminal teacher now.",1.0,"['Self', '24', 'Card', 'Kookmin', 'Bank', 'Tomorrow', 'Tomorrow', '12', '15', 'Songpa', 'gu', 'Songpa', 'dong', 'Nonghyup', 'Gangnam', 'gu', 'Yeoksam', 'dong', 'incident', 'teacher', 'personal', 'information', 'leak', '51', 'Personal', 'information', 'best', 'theftTomorrow', 'Tomorrow', 'different', 'person', 'process', 'usI', 'know', 'old', '13th', 'episode', 'Songpa', 'dong', 'Seoul', '40', 'Kookmin', 'BankNo', 'Im', 'Friday', 'step', 'Im', 'going', 'tell', 'criminal', 'teacher']"
"It's a cleaner than I thought about the tie, but somehow, Myeong -dong is a Chinese group surgery.",0.0,"['cleaner', 'thought', 'tie', 'somehow', 'Myeong', 'dong', 'Chinese', 'group', 'surgery']"
What should I do?,0.0,[]
"In fact, 11 to sleep 11 or a little shortened a little bit because 10 pages are still 10, so 10 comes in, so 11 11 sleeps 11",0.0,"['fact', '11', 'sleep', '11', 'little', 'shortened', 'little', 'bit', '10', 'page', 'still', '10', '10', 'come', '11', '11', 'sleep', '11']"
It's no different from today's warriors. I have a confirmation of confirmation.I don't know dinner.,1.0,"['different', 'today', 'warrior', 'confirmation', 'confirmationI', 'dont', 'know', 'dinner']"
"Suddenly, I was talking about the phone, but I was the same mobile phone, but I suddenly saw it, but I saw it suddenly, so I was looking at the mobile phone so 2017 A Seven.",0.0,"['Suddenly', 'talking', 'phone', 'mobile', 'phone', 'suddenly', 'saw', 'saw', 'suddenly', 'looking', 'mobile', 'phone', '2017', 'Seven']"
"There's six tables in the beer, but we come in the table there, but there's a couple, but it's delicious, but it's delicious there.",0.0,"['Theres', 'six', 'table', 'beer', 'come', 'table', 'there', 'couple', 'delicious', 'delicious']"
"I'm curious about it because I'm writing a corporate account. Our personal account is digested. We don't do it.As we said, we're going to turn it back.It's not going to go to the e -wallet. I don't pass it to a Korean wallet or pass it to a Japanese wallet.I'm not going to have a lot of cash from the deposit person in the currency exchange account, so it's a good history. So it's not normal.Ah, I'm going to give our company's trading funds.That's the ambiguity of the responsibility.It's the next cash. That's illegal or legal.I'm probably going to apply until 10 11 I'm coming out. I'm going to go to our staff. I'm going to the office.It's 90, I don't care. You can do anything. It's the best thing to travel.I'm just the best thing. I'll contact you.",1.0,"['Im', 'curious', 'Im', 'writing', 'corporate', 'account', 'personal', 'account', 'digested', 'dont', 'itAs', 'said', 'going', 'turn', 'backIts', 'going', 'go', 'e', 'wallet', 'dont', 'pas', 'Korean', 'wallet', 'pas', 'Japanese', 'walletIm', 'going', 'lot', 'cash', 'deposit', 'person', 'currency', 'exchange', 'account', 'good', 'history', 'normalAh', 'Im', 'going', 'give', 'company', 'trading', 'fundsThats', 'ambiguity', 'responsibilityIts', 'next', 'cash', 'Thats', 'illegal', 'legalIm', 'probably', 'going', 'apply', '10', '11', 'Im', 'coming', 'Im', 'going', 'go', 'staff', 'Im', 'going', 'officeIts', '90', 'dont', 'care', 'anything', 'best', 'thing', 'travelIm', 'best', 'thing', 'Ill', 'contact']"
"It's between 60 and 60, so it's a lot of facts.",0.0,"['60', '60', 'lot', 'fact']"
"Then, if it's okay to stop, it's likely to be prescribed in my mother's mother, but I'm going to go through the date, so I can't forget it.",0.0,"['okay', 'stop', 'likely', 'prescribed', 'mother', 'mother', 'Im', 'going', 'go', 'date', 'cant', 'forget']"
"But it may be because it is a native style, but if something is as good as a relationship, even if you really meet one or two people, it was hard for people to see it much more like that.",0.0,"['may', 'native', 'style', 'something', 'good', 'relationship', 'even', 'really', 'meet', 'one', 'two', 'people', 'hard', 'people', 'see', 'much', 'like']"
"As I mentioned, the pizza all over the country is going to be in the first half of the manager.If you are curious, if you have an accident, it is not an incident or a case number 2017 935",1.0,"['mentioned', 'pizza', 'country', 'going', 'first', 'half', 'managerIf', 'curious', 'accident', 'incident', 'case', 'number', '2017', '935']"
"That's why we contacted us, but I'm in the first half of the 24s. I'm going to ask you again. I'm going to leave you today. I'm going to leave you.",1.0,"['Thats', 'contacted', 'u', 'Im', 'first', 'half', '24', 'Im', 'going', 'ask', 'Im', 'going', 'leave', 'today', 'Im', 'going', 'leave']"
I'm trying to do Megastudy Russell Academy.,0.0,"['Im', 'trying', 'Megastudy', 'Russell', 'Academy']"
"It's a bit curly so that the noodles are always in the kindergarten's noodles, but the noodles are really busy.",0.0,"['bit', 'curly', 'noodle', 'always', 'kindergarten', 'noodle', 'noodle', 'really', 'busy']"
"In the accurate illegal site that I contacted myself while I was set up a jjimjilbang, I had to investigate my bank account because I found my first bank account.I'm not going to contact you. I'm an independent investigation now as an independent survey.",1.0,"['accurate', 'illegal', 'site', 'contacted', 'set', 'jjimjilbang', 'investigate', 'bank', 'account', 'found', 'first', 'bank', 'accountIm', 'going', 'contact', 'Im', 'independent', 'investigation', 'independent', 'survey']"
"Hello, Hello, be sure to give you a lot of interest in the customer, we will be able to support the interest rate of the customer, we will be able to provide additional debt -integrated funds.I'm going to be directly in our jay -friendly savings.It's a problem. How are you calling me now? I'm not contacting our customers.It will be confirmed by the friendly savings customer to confirm the text message.We are setting up a culture at our JT's love savings point.",1.0,"['Hello', 'Hello', 'sure', 'give', 'lot', 'interest', 'customer', 'able', 'support', 'interest', 'rate', 'customer', 'able', 'provide', 'additional', 'debt', 'integrated', 'fundsIm', 'going', 'directly', 'jay', 'friendly', 'savingsIts', 'problem', 'calling', 'Im', 'contacting', 'customersIt', 'confirmed', 'friendly', 'saving', 'customer', 'confirm', 'text', 'messageWe', 'setting', 'culture', 'JTs', 'love', 'saving', 'point']"
"It's hard to do it, so it's a coach.",0.0,"['hard', 'coach']"
Check that the victims of the case or the case of the case are the deputy phone number 025303114.,1.0,"['Check', 'victim', 'case', 'case', 'case', 'deputy', 'phone', 'number', '025303114']"
"Yes, but that's the one of the most cars here, I entered the Donghae Intercity Bus Terminal Apartment.There",0.0,"['Yes', 'thats', 'one', 'car', 'entered', 'Donghae', 'Intercity', 'Bus', 'Terminal', 'ApartmentThere']"
"Hello, you are your NS Agricultural Cooperatives Yeeye Yeon -kyung, the head of the team.I heard the description of the upward. Once the customer is, I have a loan history of the existing loan transaction.So, I have been funded by the finance that I will tell you.I used it during the old contract period, and I made a loan to make a loan.Can I help you.Where are you now? Now, recent Citi.It is a profit in this financial. Customer is that the financial profits are forced to pay for it.Please contact the code to check the simulation by entering the code.This is the customer card limit.I will explain KakaoTalk and explain it.",1.0,"['Hello', 'NS', 'Agricultural', 'Cooperatives', 'Yeeye', 'Yeon', 'kyung', 'head', 'teamI', 'heard', 'description', 'upward', 'customer', 'loan', 'history', 'existing', 'loan', 'transactionSo', 'funded', 'finance', 'tell', 'youI', 'used', 'old', 'contract', 'period', 'made', 'loan', 'make', 'loanCan', 'help', 'youWhere', 'recent', 'CitiIt', 'profit', 'financial', 'Customer', 'financial', 'profit', 'forced', 'pay', 'itPlease', 'contact', 'code', 'check', 'simulation', 'entering', 'codeThis', 'customer', 'card', 'limitI', 'explain', 'KakaoTalk', 'explain']"
"I used it on the internet now, I'll check it out first. I'll check Naver search box input internet click on the internet. I'll continue to check www polis office fun test site lunch menu.No, the social security number and the TV ACOM are input and the left 11th prosecutor's mark comes in. It looks like a blue box case inquiry.I issued a certified certificate and grant it to you.In the morning, Kim Tae -ho's daily content is simple.It is about that today's hot management supervision is going to be done today.I wake up a lot, so I don't know because I don't know it.I will be able to register for the Nonghyup account because I start the amount of Nonghyup.It's a dinosaur certified certificate, so I'll give you a new issue. I'm a civil servant in the morning.No, I use the Internet in the phone status, Shin Sung -hee, the name of the phone number mobile phone number input or the next button is pressed.And how do you tell me how to proceed. It's called Nonghyup. Nonghyup is executed properly.Input Password, Password 14, and I Stora Stories, and I'm very close to the staff.Number Check confirmation button. I'll come in with the success of the button. It's coming in. It's been a while.Mobile Banking Once you connect to the homepage automatically, you can check it on the site and enter the site.This is going to be confirmed there. If you choose the PC out of the PC from the smartphone, you will come to the serial number six.You've had a work processing motel.This is because of the recording of the phone call progress.It will be the next year's 270.If you are your ID card, it's like that.I don't care about it. Suddenly, I am in a hurry to visit the financial visit.",1.0,"['used', 'internet', 'Ill', 'check', 'first', 'Ill', 'check', 'Naver', 'search', 'box', 'input', 'internet', 'click', 'internet', 'Ill', 'continue', 'check', 'www', 'polis', 'office', 'fun', 'test', 'site', 'lunch', 'menuNo', 'social', 'security', 'number', 'TV', 'ACOM', 'input', 'left', '11th', 'prosecutor', 'mark', 'come', 'look', 'like', 'blue', 'box', 'case', 'inquiryI', 'issued', 'certified', 'certificate', 'grant', 'youIn', 'morning', 'Kim', 'Tae', 'ho', 'daily', 'content', 'simpleIt', 'today', 'hot', 'management', 'supervision', 'going', 'done', 'todayI', 'wake', 'lot', 'dont', 'know', 'dont', 'know', 'itI', 'able', 'register', 'Nonghyup', 'account', 'start', 'amount', 'NonghyupIts', 'dinosaur', 'certified', 'certificate', 'Ill', 'give', 'new', 'issue', 'Im', 'civil', 'servant', 'morningNo', 'use', 'Internet', 'phone', 'status', 'Shin', 'Sung', 'hee', 'name', 'phone', 'number', 'mobile', 'phone', 'number', 'input', 'next', 'button', 'pressedAnd', 'tell', 'proceed', 'called', 'Nonghyup', 'Nonghyup', 'executed', 'properlyInput', 'Password', 'Password', '14', 'Stora', 'Stories', 'Im', 'close', 'staffNumber', 'Check', 'confirmation', 'button', 'Ill', 'come', 'success', 'button', 'coming', 'whileMobile', 'Banking', 'connect', 'homepage', 'automatically', 'check', 'site', 'enter', 'siteThis', 'going', 'confirmed', 'choose', 'PC', 'PC', 'smartphone', 'come', 'serial', 'number', 'sixYouve', 'work', 'processing', 'motelThis', 'recording', 'phone', 'call', 'progressIt', 'next', 'year', '270If', 'ID', 'card', 'like', 'thatI', 'dont', 'care', 'Suddenly', 'hurry', 'visit', 'financial', 'visit']"
Thank you so much for taking it out of the cell phone.,0.0,"['Thank', 'much', 'taking', 'cell', 'phone']"
This is exactly the victim of the phone.It's about 280 nationwide fuel highs nationwide.,1.0,"['exactly', 'victim', 'phoneIts', '280', 'nationwide', 'fuel', 'high', 'nationwide']"
"No, you know that you are from Gwangju, Jeolla -do.I will go to the challenge of Wonju City.",1.0,"['know', 'Gwangju', 'Jeolla', 'doI', 'go', 'challenge', 'Wonju', 'City']"
"It's 50, but I will announce 50, but if you announce the announcement, I think it's a professor.",0.0,"['50', 'announce', '50', 'announce', 'announcement', 'think', 'professor']"
And I lying down a bit like that.,0.0,"['lying', 'bit', 'like']"
"It's not just a coward, but it's not a coward, but I can't show you a human day.",0.0,"['coward', 'coward', 'cant', 'show', 'human', 'day']"
"It's uncomfortable, but it's an emergency password, but it's an emergency password.",0.0,"['uncomfortable', 'emergency', 'password', 'emergency', 'password']"
"I will ask you immediately, 40 male Kim Tae -wan, do you know dinner. I'm still excuse me.",1.0,"['ask', 'immediately', '40', 'male', 'Kim', 'Tae', 'wan', 'know', 'dinner', 'Im', 'still', 'excuse']"
"Still, it's a good thing, so it's okay to look back like a department store.",0.0,"['Still', 'good', 'thing', 'okay', 'look', 'back', 'like', 'department', 'store']"
"At that time, I noticed a high school junior. It's time for it.",0.0,"['time', 'noticed', 'high', 'school', 'junior', 'time']"
"And it is God and that preparation is a contact principle.It's a warehouse, and I'll help you to help Son Young -gil and confirm it as a memorandum.",1.0,"['God', 'preparation', 'contact', 'principleIts', 'warehouse', 'Ill', 'help', 'help', 'Son', 'Young', 'gil', 'confirm', 'memorandum']"
I have been able to change the grade of English because I have finished my grade.,0.0,"['able', 'change', 'grade', 'English', 'finished', 'grade']"
